Fecha,Temp_Max_Real,Humidity_Real,Wind_Speed_Real,Pressure_Real
2024-06-04,21.0,70.92583333333333,31.484,1011.5069966590909
2024-06-05,17.0,53.54020833333333,27.78,1014.2520249166666
2024-06-06,19.0,55.067083333333336,18.52,1016.7635975000002
2024-06-07,20.0,57.503125000000004,22.224,1017.7371846249999
2024-06-08,19.0,60.23854166666666,24.076,1013.080898375
2024-06-09,16.0,56.05520833333333,22.224,1012.4953351041668
2024-06-10,15.0,73.92895833333334,24.076,1010.8515249583334
2024-06-11,15.0,67.80958333333334,18.52,1018.1181535000001
2024-06-12,16.0,62.38729166666667,12.964,1020.4251316875001
2024-06-13,17.0,65.295625,25.928,1012.869249
2024-06-14,19.0,69.43041666666666,27.78,1001.10154375
2024-06-15,18.0,75.26,33.336,999.1755344375
2024-06-16,21.0,62.684583333333336,27.78,1002.2021205000001
2024-06-17,23.0,57.95708333333334,20.372,1009.7650581666667
2024-06-18,21.0,63.34708333333333,16.668,1013.9274958750001
2024-06-19,20.0,67.53895833333333,27.78,1020.7637706874999
2024-06-20,22.0,65.569375,24.076,1019.8536783750001
2024-06-21,25.0,61.133541666666666,25.928,1012.9327438125
2024-06-22,23.0,65.04083333333334,20.372,1012.5517749375
2024-06-23,24.0,60.776875,14.816,1019.091740625
2024-06-24,27.0,61.64625,18.52,1018.837761375
2024-06-25,28.0,57.805625,22.224,1015.6630207500001
2024-06-26,28.0,61.37145833333333,18.52,1011.7616172708334
2024-06-27,25.0,56.58416666666667,31.484,1008.7914710416667
2024-06-28,20.0,55.70583333333334,24.076,1015.1973921250001
2024-06-29,24.0,52.87520833333334,12.964,1013.5253620625
2024-06-30,20.0,65.90208333333334,18.52,1012.7140394583333
2024-07-01,20.0,60.24583333333334,25.928,1017.5043703125001
2024-07-02,18.0,70.39083333333333,18.52,1017.5467001875
2024-07-03,20.0,74.77416666666667,24.076,1008.89024075
2024-07-04,21.0,51.808125,33.336,1008.7844160625
2024-07-05,22.0,79.49083333333333,24.076,1005.8213248124999
2024-07-06,17.0,75.01333333333334,37.04,1001.7999866875001
2024-07-07,18.0,72.606875,27.78,1009.8426629375
2024-07-08,19.0,75.906875,22.224,1014.7105985625
2024-07-09,19.0,89.68979166666668,25.928,1010.5340508958334
2024-07-10,21.0,71.66541666666667,25.928,1012.0508714166667
2024-07-11,23.0,61.85125,22.224,1016.594278
